,nome,cpf,data_nascimento
99,Brisa Chremerv ,47834725972,30/12/2013
100,Israel Ferreira,87495002127,18/8/2016
101,Osmar Chenicin,56642666952,6/5/1911
102,Bartira Christmann,97488745055,1/3/1902
103,Amadeu Chyssus,49853127357,11/3/1934
104,Chris Badia,61916267446,15/3/1959
105,Betina Dahse,36254958541,20/11/1911
106,Inacio Ferreira,74633061928,5/10/1959
107,Eliseu Dambach,03172535805,3/8/1940
108,Alessandra Christian ,90955835923,3/6/1938
109,Badia Chenicin,99854114922,28/8/2006
110,Israel Dainer,18511279944,10/2/2005
111,Emerson Damann,31027483748,14/2/1928
112,Abda Cipriano,19676210809,31/1/1937
113,Evelyne Gouvea,78484526662,2/11/1916
114,Beverly Alberico,50873575150,24/9/1951
115,Aimee de Melo,53674736086,24/3/2008
116,Olegario Clarimoundo,10857506486,28/10/1940
117,Abda Alba,03931329888,10/6/1916
118,Janaina Christof,99877803483,18/2/1916
119,Ayram de Campos,71452822542,10/7/1992
120,Carmelo Alba,26718782766,28/5/1928
121,Catarina Damert,26884074742,9/2/2007
122,Benito Damm,62227371044,19/5/2007
123,Odilson Damara,00068504956,21/1/1935
124,Alessandra Chiel ,58394242961,8/10/1927
125,Cassio Dammann,41398806798,27/8/1932
126,Cesar Leme,17579130028,31/7/2004
127,Odilon Alberico,32537301902,8/9/1981
128,Carmelo Christmann,19709980879,6/5/2009
129,Osias Claussen,95865220728,14/4/1913
130,Ed Cimbern,66954922174,9/9/1990
131,Alvaro Dahse,88728095417,6/10/1946
132,Cassiane Daiger,31395828454,8/8/1904
133,Cassio de Campos,64191601323,23/11/1978
134,Bruna Alecya,16281991124,2/12/1929
135,Altamir Dalpias,18835656870,5/11/1921
136,Edmilson Daladeia,97713359965,14/4/1979
137,Iuri Cironi,24829064973,11/6/1982
138,Alba Claus,81351531065,27/5/1973
139,Isaias Cironi,00797899448,14/5/1922
140,Alexsander Severino,37117846399,23/3/1958
141,Israel Ciqueira,57223948275,19/12/1920
142,Americo Gonçalves,07299748369,15/11/1979
143,Adeilce  Cimbern,72483447235,30/3/1918
144,Eder Dalm,39632262624,23/4/1929
145,Benito Chaulette,86700112020,3/12/1951
146,Orides de Melo,26750019994,20/2/1960
147,Ilton Dammann,59541543760,12/2/1989
148,Alanis Batista,00114714544,26/8/2008
149,Benito Christensen,11680337590,27/8/1937
150,Alaide Dalpias,68562190987,9/11/1928
151,Oduvaldo Ciqueira,08229833681,6/6/1909
152,Carlito Ciqueira,25052504223,15/9/1991
153,Cecile Aldete,52571124799,2/9/1929
154,Carmela Dambach,88341153760,31/1/1928
155,Odilson Chiarello,91390404179,16/3/1959
156,Americo Christina,49715488000,4/7/1942
157,Olivier Severino,63066290302,20/4/1902
158,Albertina Cimbern,20790072655,27/1/1927
159,Orlando Alecya,43061686521,29/8/1922
160,Olegario Dalpias,36827594995,4/2/1938
161,Alessio Ferreira,21125439736,6/8/2006
162,Alencar Alberto,87613017248,10/3/2010
163,Oscar Damasceno,97338735576,12/6/1943
164,Alcir Gomes,14131109460,12/5/1983
165,Janete Daiber,10011513827,14/7/1975
166,Ivo Alecya,60937028062,4/3/2010
167,Iuri Gomes,12295312647,31/3/1938
168,Ayram Ciqueira,11329604414,17/9/1965
169,Badia Dams,51635251993,25/1/2015
170,Blanca Frazao,73533806645,8/11/1991
171,Carlota Cironi,03647810682,3/6/1957
172,Jandineia Damer,56991626576,29/8/1941
173,Benjamin Lima ,25612954481,14/5/1918
174,Elton Alessandra,44697668376,14/2/1916
175,Amir Dalpias,34884074942,6/6/1940
176,Osias Ciola,94867309404,30/1/1957
177,Celia Daladeia,97661498225,11/6/1932
178,Ednei Alessandra,11474908272,18/11/2004
179,Jasmim Damaceno,98158627411,19/7/2004
180,Inacio Cimbern,30715587866,22/1/1969
181,Alaide Claus,68692853692,1/9/1949
182,Alessandra Cironi,72910534630,26/10/1953
183,Amauri Christina,71152124276,28/11/1939
184,Benicio Lopes,44314909779,28/3/2006
185,Beverly Basilio,85920222738,8/2/1941
186,Orfeu Christmann,88773694910,18/1/2010
187,Aimee Lopes,95742301035,10/7/2010
188,Belinda de Melo,20942570842,8/2/1961
189,Janete Christov,03589917813,29/5/2010
190,Isaac Chiarello,27680135191,29/7/1997
191,Aluisio Ferreira,06204371007,4/2/1973
192,Benjamin Basilio,06865218134,19/9/1905
193,Isaac Gonçalves,22633930661,21/4/1996
194,Evelyne Dalms,41559204490,3/6/1978
195,Candida Christensen,52056603891,6/3/1936
196,Ilton Damann,63870160061,2/5/1987
197,Brisa Gomes,53884210503,21/8/1950
198,Ivich Batista,36632434211,6/3/1904
199,Berenice Damasceno,86108161930,11/5/1919
200,Alecya Campos,89987232465,10/8/2009
201,Arnaldinho Chestian,23271818230,26/12/2009
202,Odorico Damm,53834166965,23/4/1981
203,Alcir Bartira,45220343208,2/4/1913
204,Carmem Chyssus,99137895267,25/8/1919
205,Alvaro Chremerv ,82334690768,14/2/1958
206,Isaac Damasceno,59696004632,21/1/1977
207,Ilton Alessandra,78244828326,6/1/1918
208,Bruna Daiger,88803594012,9/6/2015
209,Elton Ciola,73299819505,30/8/1928
210,Andre Damert,56327110471,6/9/1900
211,Eliseu Alessandra,58363579728,10/12/1958
212,Beverly Dahmer,50982773727,29/7/1985
213,Jaimerina Ribeiro,04218174754,14/4/1907
214,Igor Damara,85069928833,25/5/1964
215,Alessandra Dalpias,64045525619,26/4/1954
216,Beverly Dalateia,58807997723,8/8/1918
217,Bartira Dalpias,84841606557,27/10/2015
218,Albertina Gomes,63734583327,12/6/1952
219,Carmelo Chiarello,62970139342,26/9/1940
220,Bartira Aldete,25462499673,29/3/1923
221,Carmelo Alcione,88865508076,16/8/1988
222,Elton Daiger,63044839887,4/9/2000
223,Cassiane Rangel,94221921627,5/7/2002
224,Alfeu Ferreira,93218705747,18/7/1944
225,Alceu Gomes,63907979695,27/4/1934
226,Carolina Damer,70963244014,26/2/1989
227,Jaimerina Dambach,87916864780,25/9/2004
228,Acacia Chenicin,93198863206,19/2/1930
229,Inacio Chaves,92546432864,24/2/1926
230,Eliezer Chaulette,87487756935,5/1/1998
231,Charles Fernandes,52512353643,7/11/1919
232,Eduardo Christof,24155271147,3/6/1947
233,Carlito Machado,09305869675,29/9/1968
234,Benito Correa,94309469393,14/8/1902
235,Jacilei Chyssus,55121948160,14/2/1956
236,Alecya Fernandes,31400200962,17/11/2013
237,Alessio Leme,46797730722,2/12/1975
238,Bartira Damer,77922648269,20/12/1920
239,Omar Chiel ,53413546741,26/3/1966
240,Edson Clar,88506068653,27/9/1971
241,Brenda Chiel ,29733866895,2/7/2008
242,Jade Cironi,25724420743,17/4/1935
243,Odir Daladeia,88887154438,20/1/2007
244,Abda Batista,87809955613,23/7/1944
245,Osias Fonseca,35341068101,13/2/1930
246,Alecya Ferreira,83478506442,9/8/1936
247,Odherban Alberico,87829662237,25/7/1987
248,Edvaldo Alessandra,40393166897,11/1/1928
249,Orlando Cipriano,13333390535,19/6/1996
250,Ed Damchen,25596805513,23/7/1929
251,Odorico Dainer,22429403992,27/7/1923
252,Alanis Baldoc,14544022788,29/3/1924
253,Cassio Damert,89169952744,16/7/1935
254,Anat Ciqueira,51105584527,23/7/1917
255,Jaimerina Bartira,00804140756,7/3/1942
256,Cesar Dalober,06588259483,27/8/1905
257,Caue Correa,59481142383,20/7/1984
258,Bruna Dalm,06097199017,21/2/2002
259,Adriana  Damscher,71120816608,17/7/1968
260,Benicio Lopes,34317055106,20/2/1989
261,Aisla Ferreira,75252129212,24/5/1954
262,Abda Chyssus,38986491034,21/6/2016
263,Célio Dammann,58693834666,29/5/1950
264,Janey Claser,39439447399,1/8/1955
265,Brisa Daladeia,47038039799,13/4/1962
266,Amilcar Dalateia,93325213573,31/8/1987
267,Alcir Alecya,38044410760,2/8/1920
268,Jacilei Dalpias,83509783974,23/1/1932
269,Americo Claussen,53443371531,14/8/1936
270,Orides Clar,55723175963,21/6/1959
271,Eliseu Daladeia,04569651432,11/3/1956
272,Badia Alcione,26259329275,7/10/1908
273,Carolina Christ,28123069082,22/12/2011
274,Alessandra Chyssus,40130488285,2/3/1967
275,Alaide Freitas,50486613662,10/10/1934
276,Ilario Alberto,02270891237,2/6/1968
277,Bernadete Claser,72722603421,15/10/1914
278,Camila Rangel,24462933868,15/10/2015
279,Cecile Chenicin,20582214820,31/8/1925
280,Ilario Damasceno,25826773435,30/11/1996
281,Alberto Aldete,38729424008,19/12/2011
282,Olegario Gouvea,16527051182,29/9/2015
283,Cesar Clar,05152595724,6/4/1998
284,Edvaldo Christ,92180501013,19/1/1992
285,Cassio Cleber,06922692267,9/6/1936
286,Adelia  Dalateia,99141278556,30/9/1936
287,Alfeu Alberico,73723491869,6/9/1984
288,Alex Campos,85342837457,20/3/1958
289,Amon Machado,15718363473,24/9/1986
290,Carol Damann,29925142355,22/1/1929
291,Alfeu Christina,36505614019,19/2/2001
292,Carmela Damer,88378732550,27/2/1988
293,Ayrton  Dalbias,03371422762,22/10/1961
294,Carmela Daiger,47602932143,30/1/1926
295,Bartira Fonseca,09737833150,15/8/1998
296,Blanca Correa,04624720420,14/1/1936
297,Alfeu Alecya,70900772067,20/3/1961
298,Alba Frazao,93370531297,16/10/1987
299,Olegario Chenicin,77690540692,2/5/1977
300,Oduvaldo Damm,08568774181,18/4/1908
301,Odherban Gomes,47015695657,20/7/1916
302,Brigida Claser,80172668682,6/3/1961
303,Brisa Dams,53032985761,11/1/1968
304,Odherban Damaceno,89076872144,30/10/1959
305,Caue Christian ,46492660154,8/8/1971
306,Carlito Badia,06835727649,23/4/2012
307,Jasmim Dalm,44831703215,29/8/2003
308,Acacia Dalm,74167838907,26/3/1917
309,Odilson Dalm,37766806535,3/1/1903
310,Celso Damscher,73522231772,14/9/1955
311,Janete Cleber,44739208680,11/3/1994
312,Adelia  Clausen,52878978212,1/3/2016
313,Alexsander Dalbias,46833941640,11/3/1978
314,Amon Claussen,46905941271,7/9/1961
315,Olegario Chiel ,90066072482,12/4/1905
316,Almir de Campos,27761266977,3/1/1938
317,Alcione Dalbias,96931997685,5/1/1961
318,Adalgisa Dalpias,52916345141,17/7/1928
319,Ed Dalbias,77778200890,6/3/1959
320,Aira  Christov,98649312964,19/9/2000
321,Caue Leme,17739315403,10/1/1917
322,Ivan Chaves,53598497776,26/9/1968
323,Eliseu Chaulette,72868558742,20/1/1919
324,Amon Dalm,65875933712,25/9/1959
325,Ivo de Melo,65969103172,18/8/2004
326,Ilario Dainer,79908970237,18/9/1934
327,Amin Ciqueira,80860901802,21/5/1901
328,Carlota Clairton,72602315844,4/4/1964
329,Celso Damann,74364737667,28/9/1925
330,Altamir Frazao,92158473874,6/6/1986
331,Camila Dahse,40815870861,6/7/1973
332,Evelyne Ribeiro,29116809617,25/1/2013
333,Adriana  Dahmer,05207804843,5/1/1932
334,Célio Christmann,53985131206,14/7/1937
335,Abda Ferreira,49914651753,20/6/1937
336,Odherban Chaves,88787498028,26/5/1981
337,Alanis Chica,62891060660,20/2/2009
338,Carolina Cidade,00316845398,10/6/1921
339,Iuri Chremerv ,67479458039,2/9/1975
340,Oduvaldo Lopes,56513355332,14/6/1965
341,Irineu Dambacher,67079186428,30/9/1933
342,Ilario Clar,61052911155,14/9/1954
343,Cassandra Cironi,10557851542,1/3/1912
344,Caue Cimbern,32947191330,1/7/1982
345,Elton Alba,56864648791,23/4/2013
346,Ayrton  Daladeia,95813540290,6/8/2014
347,Blanca Alecya,54680956018,21/7/1982
348,Alex Dalms,05041901686,5/4/1935
349,Amin Ribeiro,14407019366,23/6/1929
350,Aisla Damer,50514294217,10/4/1987
351,Odherban Damiz,20922248769,24/6/1901
352,Odécio Christof,53626942211,22/10/1983
353,Osmar de Campos,60884665664,21/6/1925
354,Odilson Damann,47371659663,8/2/1998
355,Isaias Dalpias,71172492186,16/7/2012
356,Amir Christ,72760856427,28/2/1920
357,Alvaro Chremerv ,72579375911,3/3/1951
358,Célio Christensen,96900172116,6/6/1983
359,Casimiro Aldete,53112506191,4/2/1933
360,Alcione Damara,74950428232,18/9/2007
361,Alfredo Alceu,58263618073,21/6/2007
362,Edmilson Christov,46141775878,8/4/1921
363,Janaina Alessandra,84919519954,14/4/1925
364,Onofre de Campos,82501468432,23/7/1919
365,Cassia Christ,79124122752,15/9/1905
366,Adeilce  Christof,64191127320,13/5/1923
367,Altamir Christian ,39303271863,10/9/1977
368,Alex Chaulette,28064606807,7/6/1999
369,Berta Damaceno,76954879743,22/3/1999
370,Cassandra Alberto,31827629621,2/6/1917
371,Jacilei Clausen,94447913249,22/1/1992
372,Jandineia Chaves,76436032324,11/7/1917
373,Odilon Claus,09762905207,22/7/1985
374,Jacqueline Christof,87383528023,1/4/1959
375,Eliezer Alecya,85113150831,18/2/1918
376,Jacqueline Alberico,73607489412,3/1/1928
377,Orides Ciola,04756234880,28/1/2004
378,Edmilson de Melo,10678493569,4/9/1916
379,Isaias Fernandes,50806156999,15/1/1966
380,Anat Machado,62388162692,1/4/1987
381,Agnes Campos,62457168700,7/1/1943
382,Alcione Damasceno,07554244017,5/12/2003
383,Alessandro Damm,48575480610,4/9/1933
384,Oduvaldo Chenicin,59935241060,24/1/1998
385,Charles Cironi,98757294252,10/5/1988
386,Orfeu Alessandra,67791717359,26/3/1963
387,Beverly Damer,96126128270,22/7/2011
388,Amauri Dahse,94567507261,29/7/1916
389,Alfredo Damert,60219590725,1/11/1997
390,Acacia Fernandes,41204044650,8/8/1923
391,Jaqueline Correa,32060255167,4/3/2000
392,Jacqueline Alberico,03558039749,20/6/1942
393,Ed Chestian,74382436182,21/5/1926
394,Adriana  Dahmer,85766481791,28/2/1961
395,Alessio Dambacher,20494292537,18/7/1913
396,Bartira Badia,55758254304,13/12/1915
397,Brigite Daladeia,14300404094,29/9/1952
398,Alanis Christoph,45530534156,12/3/1961
399,Amadeu Damm,14168275990,23/7/1913
400,Albertina Damer,29990549593,15/1/2003
401,Alberico Dainer,38545211582,14/1/1921
402,Emerson Dainer,73893871853,21/10/1959
403,Adriana  Ciqueira,49528985325,17/5/1970
404,Adeilce  Dalpias,15281081610,10/11/1946
405,Orides Damer,61276971403,15/6/1992
406,Odilson Dalateia,79239787700,26/4/1904
407,Adelaide Cimbern,43240033612,20/6/1910
408,Bianca Clairton,34739741256,31/7/1969
409,Adelaide de Campos,47492584331,12/8/1973
410,Brisa Alessandra,76557447430,16/1/2012
411,Brisa Alba,59308148619,13/1/1934
412,Jacilei Lopes,49849912094,19/7/1921
413,Célio Frazao,31408474745,19/11/1967
414,Alcione Chaves,47853349000,18/3/1992
415,Onofre Damazio,79506832608,29/5/1923
416,Altamir Christensen,77392080259,9/7/1945
417,Omar Damian,71800643642,19/6/1985
418,Cecil Damscher,23411084562,24/4/1915
419,Alessandra Claussen,85388178411,8/4/1984
420,Abda Damazio,86174505449,9/4/2013
421,Americo Dainer,61462707381,23/2/2000
422,Beth Gouvea,65630633015,11/5/1917
423,Candida Chaulette,59668676085,14/6/1911
424,Barbara Damm,35504941868,14/11/2001
425,Odilon Fonseca,44349714237,21/2/1900
426,Charles Clausen,11343890805,5/4/1915
427,Celeste Cidade,58173045756,20/8/2010
428,Alceu Clausen,06298173522,7/9/1913
429,Carlota Gomes,11810470603,17/10/2014
430,Almir Dammann,61407105630,24/9/1944
431,Aldete Cimbern,14089997230,7/6/1959
432,Amauri Freitas,59814852757,20/7/1928
433,Belinda Dalms,73713343977,27/2/1934
434,Jasmim Dambacher,09734528551,10/1/1942
435,Olavo Damm,75745141372,17/8/1946
436,Alessandro Clairton,03066903277,31/12/1990
437,Alfeu Batista,61155825556,30/7/1903
438,Benjamin Campos,88117207942,23/12/1980
439,Benjamin Machado,96882328147,29/5/1951
440,Alcir Dalfert,21813124073,26/8/1963
441,Adalgisa Christmann,87410901201,14/3/1909
442,Aimee Machado,60777398388,19/12/2012
443,Cassandra Dalober,26641545591,17/3/1996
444,Cesar Dahse,84428822089,27/8/1985
445,Alencar Christian ,08109438861,2/12/1918
446,Ediraldo de Campos,93911271800,18/1/1975
447,Eivaldo Ferreira,33525764379,22/8/1980
448,Abda Cleber,84769856193,5/1/1980
449,Jandineia Correa,64542180937,26/11/1939
450,Orlando Damer,19816182095,13/9/2016
451,Oscar Freitas,29715835515,11/2/1925
452,Onofre Correa,25407995519,15/10/1975
453,Ismael Damasceno,73538600370,14/2/1908
454,Betina Freitas,67208930477,4/9/1985
455,Almir Freitas,03957746975,15/2/1976
456,Carole Dainer,05171613489,1/5/1975
457,Amilcar Chaulette,58983845338,24/8/1966
458,Barbara Christian ,84446686720,4/8/1913
459,Brisa Dalober,64805198168,4/1/1979
460,Oscar de Campos,50161489474,19/8/1934
461,Alcina Clairton,94764925978,3/8/1926
462,Benito Christmann,56836630573,6/1/1952
463,Janete Dalober,70350501864,2/6/1965
464,Alfeu Damann,33722102671,14/3/1939
465,Osmar Cleber,95451337825,14/9/1957
466,Arnaldinho de Melo,34971711097,29/6/2012
467,Jaimerina Dahmer,87330408050,29/1/2005
468,Blanca Cleber,43368627250,23/1/1916
469,Arnaldinho Bartira,78255326133,29/3/1910
470,Carla Clausen,38360465163,23/6/2011
471,Albertina Christina,73470120772,19/12/1953
472,Beatriz Basilio,00402318228,27/1/1921
473,Cassia Christof,48919786370,25/1/1942
474,Aisla Christov,01894508127,2/8/1956
475,Aime  Damiz,59250093904,4/8/1914
476,Cassandra Ferreira,18223527824,2/9/1993
477,Amadeu Dalfert,04441821440,31/5/1919
478,Elias Dalm,02488259114,1/3/1978
479,Chris Chremerv ,87659375233,19/3/1956
480,Acacia Clarimoundo,61944456291,11/4/1952
481,Chris Cleber,95894591487,20/4/1966
482,Benicio Christmann,37464964221,22/11/1946
483,Beth Alberto,43255501539,22/3/1950
484,Eduardo Severino,53171862177,4/1/2003
485,Amir Dalm,76130587271,16/2/1965
486,Edson Clausen,60531439766,31/12/1964
487,Carol Claus,20667110026,28/9/1916
488,Aira  Daiger,81300600218,9/7/2008
489,Eivaldo Christoph,14735825123,8/3/1991
490,Cassio Alberto,33418364962,4/8/1934
491,Edmilson Fonseca,73645924495,1/8/1997
492,Brenda Damchen,32532455846,25/1/1959
493,Barbara Frazao,74877949223,9/2/1940
494,Aimee Claus,17940555115,22/7/1984
495,Aluisio Gomes,02988560301,6/12/2004
496,Alessandra Severino,69189320642,12/5/2011
497,Alcir Dalbias,96176141896,21/4/1997
498,Carlito Claus,07743071279,15/12/2015
499,Alceu Christina,46221031396,11/3/1936
500,Ismael Ciola,47398910516,16/6/1977
501,Aisla Ribeiro,10115988601,14/5/1965
502,Anat Chaves,99287589469,20/1/1910
503,Bela Christov,47900593629,19/8/1968
504,Baldoc Cironi,43312760813,8/8/1983
505,Celia Dalfert,54716600995,20/3/1953
506,Adalgisa Dalfert,33781040058,18/9/1942
507,Baldoc Badia,83090855527,26/2/1988
508,Abda Claussen,18555634398,10/8/1980
509,Isaac Clar,89760855477,29/1/1952
510,Amadeu Fernandes,64287207945,1/6/1914
511,Edson Aldete,98751991849,12/4/1941
512,Ednei Dalpias,91808898483,23/2/1973
513,Adalgisa Damscher,60494958717,29/7/1968
514,Elias Batista,61265641445,9/2/1988
515,Inacio Machado,02368272138,21/3/1990
516,Oscar Ferreira,62236743661,18/4/1984
517,Camila Damasceno,90404988989,5/3/1947
518,Carolina Bartira,56921934183,4/12/2012
519,Olivier Damer,87887748833,30/4/1918
520,Jaimerina Frazao,05644832867,23/7/1932
521,Alcir Gouvea,07888466963,17/11/2005
522,Adriana  Clarimoundo,41713955429,20/6/2001
523,Aira  Damert,65369578918,7/1/1996
524,Batista Freitas,28897275893,27/10/1933
525,Alcir Correa,30151360209,27/1/2015
526,Agnes Damann,49920535888,7/1/1970
527,Alfeu Cimbern,02019063412,3/10/1994
528,Alessandra Gomes,40426934235,12/10/1996
529,Bartira Christoph,95110829117,28/2/1964
530,Basilio Ribeiro,32636413067,12/3/1954
531,Aidee  Damara,54936100807,12/8/1995
532,Bela Rangel,38024944030,3/9/1922
533,Benito Fernandes,06524063933,3/10/1941
534,Ivan Bartira,99740969423,5/9/1913
535,Olavo Christ,32911416329,14/7/1995
536,Ivan Cidade,85806517414,24/12/1975
537,Olegario Ribeiro,25984855462,25/4/2012
538,Batista Chaulette,45828058006,22/8/2010
539,Isaac Christ,13387125585,13/2/1917
540,Eliezer Ciqueira,71596326333,28/6/1985
541,Cassia Cimbern,45421114517,16/5/1955
542,Jade Leme,72342718286,10/3/2016
543,Onofre Dalateia,05625522235,21/9/1975
544,Aida Dalfert,65884556082,19/10/1943
545,Carlos Dalateia,55013929974,18/6/1915
546,Alfeu Chica,25720705131,7/10/1936
547,Charles Correa,95795905825,29/4/1935
548,Onofre Lopes,28477589684,12/11/1900
549,Cassia Claus,06676477306,28/8/1985
550,Almir Alba,72435771347,9/6/1991
551,Orfeu Damert,90251062079,10/3/1985
552,Alexsander Christian ,69964126248,22/4/1902
553,Andre Claussen,20181954817,12/2/1992
554,Arnaldinho Dalms,81672742564,22/1/1914
555,Isaias Gonçalves,05496429482,17/8/1950
556,Carmelo Dams,03283613682,7/8/1916
557,Aluisio Christina,31990830749,9/2/2015
558,Aime  Dalateia,31157343993,6/12/1969
559,Odir Dammann,79351341013,5/5/1936
560,Celene Baldoc,02777343623,8/9/1980
561,Alberto Dalms,02354035962,30/3/1986
562,Oscar Dalm,54604694491,23/7/1944
563,Carmelo Lima ,03416938916,11/9/2016
564,Carmela Dalateia,23353902905,13/3/1989
565,Aluisio Claus,09828226335,21/3/1971
566,Janete Freitas,82871041450,1/3/1930
567,Aisla Fonseca,35088459018,29/6/1920
568,Edilson Gonçalves,83993531381,25/2/2017
569,Cassandra Claser,29045255082,27/8/1909
570,Ismael Damazio,80420138272,21/1/1948
571,Carmela Claussen,31263271573,18/11/1936
572,Osmar Damscher,15875283617,24/12/1978
573,Adelaide Ribeiro,67118281824,24/9/1986
574,Odilon Dalfert,73046049658,8/9/2003
575,Baldoc Ciqueira,84411665090,2/7/1965
576,Alceu Dams,76341830244,25/6/2011
577,Cassandra Correa,67032651027,18/3/1993
578,Odilson Lopes,24067046491,26/9/1920
579,Beatriz Dambacher,61711591389,24/8/1918
580,Arnaldinho Ciqueira,34299861791,21/8/1905
581,Aida Ciqueira,94367554353,30/3/2014
582,Elton Christov,01935517902,5/11/2013
583,Cassio Claus,30800110947,29/11/1998
584,Chris Claser,66049234410,4/7/2004
585,Carmelo Daiger,73339486069,12/11/1923
586,Beth Fonseca,39866953136,4/1/2003
587,Brigite Alberto,20919004133,1/5/1966
588,Odorico Chaulette,04567707087,25/4/1912
589,Amilcar Clar,73890763423,17/6/1986
590,Jade Severino,74461115967,5/7/1972
591,Alberico Damazio,02161339460,13/6/1914
592,Aluisio Ferreira,41470127787,15/4/1989
593,Camila Chica,44870701721,20/12/1956
594,Aluisio Campos,68717187334,5/10/1982
595,Eliezer Daladeia,62400748835,17/10/1998
596,Brenda Damm,73752393686,2/11/1913
597,Aidee  Chiel ,28136916267,4/8/1992
598,Beatriz Machado,82008469584,31/10/1954
599,Jacilei Christmann,58175860657,11/8/1945
600,Amir Christ,43653257054,9/1/1978
601,Odilon Dalfert,50304940818,10/4/1982
